id,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1377016,6e Arrondissement,45.76947,4.8627,Entire home/apt,1.0,2.0,$89.00,t,1,22,51,318,2021-09-15,1,1,0,0
1378174,3e Arrondissement,45.75284,4.85566,Entire home/apt,2.0,3.0,$160.00,t,0,0,0,0,2021-09-15,1,1,0,0
1379077,6e Arrondissement,45.76633,4.86315,Entire home/apt,,1.0,$150.00,t,30,60,90,365,2021-09-15,3,3,0,0
1383614,7e Arrondissement,45.73983,4.85174,Entire home/apt,1.0,1.0,$114.00,t,25,55,85,175,2021-09-15,3,3,0,0
1399933,3e Arrondissement,45.74528,4.88628,Private room,1.0,1.0,$100.00,t,0,0,0,0,2021-09-15,1,0,1,0
1400666,1er Arrondissement,45.77372,4.83847,Entire home/apt,1.0,1.0,$49.00,t,0,15,28,291,2021-09-15,1,1,0,0
1410219,7e Arrondissement,45.75598,4.8407,Entire home/apt,2.0,3.0,$140.00,t,0,0,0,0,2021-09-15,1,1,0,0
1421295,7e Arrondissement,45.75325,4.84327,Entire home/apt,1.0,2.0,$58.00,t,0,0,14,200,2021-09-15,1,1,0,0
1452778,4e Arrondissement,45.77449,4.83183,Entire home/apt,2.0,3.0,$110.00,t,0,0,0,0,2021-09-15,1,1,0,0
1463170,2e Arrondissement,45.74321,4.81803,Entire home/apt,1.0,0.0,$55.00,t,1,2,2,43,2021-09-15,1,1,0,0
1465097,1er Arrondissement,45.76751,4.83323,Entire home/apt,1.0,1.0,$67.00,t,6,18,30,296,2021-09-15,1,1,0,0
1471832,1er Arrondissement,45.77125,4.83504,Private room,1.0,1.0,$29.00,f,0,0,0,0,2021-09-15,2,0,2,0
1478962,5e Arrondissement,45.75768,4.81005,Private room,1.0,1.0,$39.00,t,21,51,81,99,2021-09-15,2,0,2,0
1495384,2e Arrondissement,45.75659,4.82979,Private room,1.0,1.0,$50.00,t,30,60,90,365,2021-09-15,1,0,1,0
1497267,1er Arrondissement,45.76783,4.83317,Entire home/apt,,1.0,$65.00,t,0,0,0,69,2021-09-15,6,5,1,0
1497665,1er Arrondissement,45.76916,4.83597,Entire home/apt,2.0,2.0,$75.00,t,0,0,0,206,2021-09-15,6,5,1,0
1504801,4e Arrondissement,45.77903,4.83505,Private room,1.0,1.0,$42.00,t,12,12,12,209,2021-09-15,1,0,1,0
1549249,1er Arrondissement,45.76912,4.83291,Entire home/apt,1.0,2.0,$59.00,t,0,0,0,0,2021-09-15,1,1,0,0
1551679,2e Arrondissement,45.75409,4.83075,Private room,1.0,1.0,$49.00,t,0,21,44,44,2021-09-15,1,0,1,0
1559193,1er Arrondissement,45.7679,4.83493,Entire home/apt,1.0,1.0,$101.00,t,3,10,10,209,2021-09-15,35,35,0,0
1595125,1er Arrondissement,45.76601,4.83299,Entire home/apt,1.0,1.0,$70.00,t,1,1,1,227,2021-09-15,2,1,0,1
1626767,1er Arrondissement,45.7723,4.83474,Entire home/apt,1.0,2.0,$74.00,t,0,0,16,265,2021-09-15,1,1,0,0
1643219,1er Arrondissement,45.76601,4.83299,Shared room,1.0,0.0,$27.00,t,0,0,0,228,2021-09-15,2,1,0,1
1648680,7e Arrondissement,45.75326,4.83839,Entire home/apt,1.0,2.0,$77.00,t,0,0,0,0,2021-09-15,1,1,0,0
1651110,3e Arrondissement,45.74947,4.88866,Private room,1.0,1.0,$50.00,t,0,0,0,0,2021-09-15,1,0,1,0
1654767,4e Arrondissement,45.77497,4.83743,Entire home/apt,3.0,0.0,$120.00,t,0,0,10,87,2021-09-15,2,1,1,0
1663901,7e Arrondissement,45.74863,4.84389,Entire home/apt,2.0,2.0,$70.00,t,0,0,0,0,2021-09-15,1,1,0,0
1666604,3e Arrondissement,45.76257,4.85227,Entire home/apt,1.0,1.0,$60.00,t,0,0,0,0,2021-09-15,1,1,0,0
1674703,5e Arrondissement,45.76055,4.82839,Entire home/apt,1.0,1.0,$70.00,t,5,17,33,139,2021-09-15,1,1,0,0
1713257,1er Arrondissement,45.77208,4.83472,Entire home/apt,2.0,3.0,$99.00,t,19,49,79,354,2021-09-15,1,1,0,0
1733448,2e Arrondissement,45.75161,4.82727,Private room,1.0,2.0,$40.00,t,0,0,0,0,2021-09-15,1,0,1,0
1736079,5e Arrondissement,45.76401,4.8282,Entire home/apt,1.0,2.0,$71.00,t,0,0,9,280,2021-09-15,1,1,0,0
1741071,6e Arrondissement,45.76526,4.85405,Entire home/apt,,1.0,$47.00,t,0,4,4,274,2021-09-15,2,2,0,0
1750754,1er Arrondissement,45.76839,4.8333,Entire home/apt,1.0,1.0,$100.00,t,0,13,41,316,2021-09-15,1,1,0,0
1751911,5e Arrondissement,45.76245,4.82672,Entire home/apt,1.0,1.0,$70.00,t,1,17,34,154,2021-09-15,2,2,0,0
1774856,2e Arrondissement,45.7639,4.83328,Entire home/apt,1.0,1.0,$75.00,t,0,0,0,0,2021-09-15,1,1,0,0
1789544,9e Arrondissement,45.78121,4.79584,Entire home/apt,2.0,2.0,$75.00,t,0,0,0,265,2021-09-15,2,2,0,0
1791975,3e Arrondissement,45.76238,4.84711,Entire home/apt,3.0,4.0,$90.00,t,0,0,0,0,2021-09-15,1,1,0,0
1813360,6e Arrondissement,45.7662,4.86629,Entire home/apt,1.0,2.0,$59.00,t,0,0,0,143,2021-09-15,18,18,0,0
1815981,2e Arrondissement,45.76414,4.83648,Entire home/apt,1.0,2.0,$60.00,t,1,1,1,256,2021-09-15,1,1,0,0
1824688,4e Arrondissement,45.77646,4.82447,Entire home/apt,2.0,2.0,$70.00,t,0,0,0,0,2021-09-15,1,1,0,0
1832285,5e Arrondissement,45.75784,4.81347,Entire home/apt,,1.0,$48.00,t,11,27,52,327,2021-09-15,2,2,0,0
1832375,2e Arrondissement,45.75222,4.8241,Entire home/apt,3.0,0.0,$190.00,t,1,4,5,57,2021-09-15,1,1,0,0
1846986,1er Arrondissement,45.76762,4.8371,Entire home/apt,1.0,1.0,$105.00,t,0,0,0,269,2021-09-15,35,35,0,0
1848728,6e Arrondissement,45.76558,4.86707,Entire home/apt,,2.0,$49.00,t,0,0,16,196,2021-09-15,18,18,0,0
1848824,1er Arrondissement,45.77104,4.83298,Entire home/apt,2.0,2.0,$75.00,t,0,0,0,257,2021-09-15,1,1,0,0
1849235,1er Arrondissement,45.7714,4.82819,Entire home/apt,1.0,2.0,$115.00,t,0,0,0,0,2021-09-15,1,1,0,0
1852260,5e Arrondissement,45.76231,4.82918,Private room,1.0,2.0,$45.00,t,0,0,0,257,2021-09-15,2,1,1,0
1852269,5e Arrondissement,45.76232,4.82911,Entire home/apt,2.0,3.0,$115.00,t,6,21,32,299,2021-09-15,2,1,1,0
1858587,1er Arrondissement,45.77017,4.82786,Entire home/apt,1.0,2.0,$190.00,t,0,0,0,0,2021-09-15,1,1,0,0
1859928,4e Arrondissement,45.77635,4.83316,Private room,1.0,1.0,$40.00,t,13,43,70,345,2021-09-15,1,0,1,0
1866856,7e Arrondissement,45.75118,4.83896,Entire home/apt,2.0,2.0,$63.00,t,0,0,0,0,2021-09-15,2,1,1,0
1870851,1er Arrondissement,45.77237,4.83507,Entire home/apt,1.0,1.0,$150.00,t,29,59,89,364,2021-09-15,1,1,0,0
1871596,4e Arrondissement,45.77439,4.82882,Entire home/apt,1.0,2.0,$200.00,t,0,0,0,0,2021-09-15,1,1,0,0
1875470,1er Arrondissement,45.76656,4.83961,Entire home/apt,1.0,1.0,$68.00,t,12,42,72,347,2021-09-15,1,1,0,0
1878564,1er Arrondissement,45.76984,4.82748,Entire home/apt,4.0,4.0,$125.00,t,0,0,5,172,2021-09-15,1,1,0,0
1878800,1er Arrondissement,45.76995,4.83781,Entire home/apt,2.0,3.0,$240.00,t,28,58,88,363,2021-09-15,1,1,0,0
1880785,1er Arrondissement,45.76941,4.82713,Entire home/apt,1.0,2.0,$60.00,t,0,0,0,0,2021-09-15,1,1,0,0
1885147,1er Arrondissement,45.76763,4.83708,Entire home/apt,1.0,1.0,$86.00,t,4,25,31,300,2021-09-15,35,35,0,0
1885460,4e Arrondissement,45.7762,4.83706,Entire home/apt,2.0,0.0,$39.00,t,0,0,0,0,2021-09-15,1,1,0,0
1902336,7e Arrondissement,45.74732,4.85765,Private room,1.0,1.0,$80.00,t,29,59,89,89,2021-09-15,2,1,1,0
1917488,2e Arrondissement,45.75629,4.83064,Entire home/apt,1.0,2.0,$150.00,t,0,0,0,0,2021-09-15,1,1,0,0
1917560,2e Arrondissement,45.75734,4.83178,Entire home/apt,2.0,0.0,$106.00,t,0,0,5,76,2021-09-15,1,1,0,0
1926730,2e Arrondissement,45.75661,4.82808,Entire home/apt,4.0,4.0,$371.00,t,25,55,85,360,2021-09-15,2,2,0,0
1927965,5e Arrondissement,45.76645,4.82645,Entire home/apt,2.0,2.0,$100.00,t,0,0,0,0,2021-09-15,1,1,0,0
1927981,6e Arrondissement,45.76558,4.86707,Entire home/apt,,1.0,$49.00,t,0,0,0,176,2021-09-15,18,18,0,0
1930434,1er Arrondissement,45.76573,4.83101,Entire home/apt,2.0,2.0,$250.00,t,0,0,0,0,2021-09-15,1,1,0,0
1931175,5e Arrondissement,45.76391,4.82802,Entire home/apt,3.0,4.0,$247.00,t,25,55,85,360,2021-09-15,2,2,0,0
1933392,7e Arrondissement,45.75409,4.83912,Private room,1.0,1.0,$49.00,t,3,19,35,307,2021-09-15,1,0,1,0
1935365,1er Arrondissement,45.76624,4.83197,Private room,1.0,2.0,$20.00,t,0,0,0,0,2021-09-15,2,1,1,0
1938959,2e Arrondissement,45.75874,4.83591,Entire home/apt,2.0,4.0,$75.00,t,0,13,40,130,2021-09-15,1,1,0,0
1942472,7e Arrondissement,45.73964,4.82683,Entire home/apt,2.0,3.0,$60.00,t,6,8,21,231,2021-09-15,1,1,0,0
1944655,3e Arrondissement,45.75285,4.87108,Private room,1.0,1.0,$31.00,t,0,0,0,0,2021-09-15,1,0,1,0
1947637,1er Arrondissement,45.77168,4.83494,Entire home/apt,1.0,2.0,$80.00,t,0,0,0,0,2021-09-15,2,2,0,0
1949220,4e Arrondissement,45.77589,4.83494,Entire home/apt,3.0,4.0,$110.00,t,0,0,0,0,2021-09-15,1,1,0,0
1951381,2e Arrondissement,45.75355,4.83184,Entire home/apt,2.0,2.0,$150.00,t,0,0,0,0,2021-09-15,1,1,0,0
1951583,4e Arrondissement,45.77913,4.83461,Entire home/apt,3.0,3.0,$120.00,t,12,42,60,288,2021-09-15,1,1,0,0
1953871,2e Arrondissement,45.75118,4.83037,Entire home/apt,1.0,2.0,$90.00,t,0,0,0,0,2021-09-15,2,2,0,0
1958003,2e Arrondissement,45.75769,4.82993,Private room,1.0,1.0,$71.00,t,3,32,60,335,2021-09-15,2,1,1,0
1958078,2e Arrondissement,45.75937,4.83016,Entire home/apt,1.0,2.0,$100.00,t,16,43,71,346,2021-09-15,2,1,1,0
1958363,2e Arrondissement,45.76208,4.83373,Entire home/apt,2.0,3.0,$147.00,t,6,26,46,321,2021-09-15,1,1,0,0
1958504,1er Arrondissement,45.77138,4.83657,Private room,1.0,1.0,$41.00,t,1,1,1,77,2021-09-15,1,0,1,0
1959982,8e Arrondissement,45.72479,4.85358,Private room,1.0,1.0,$28.00,t,0,0,0,257,2021-09-15,1,0,1,0
1960263,2e Arrondissement,45.76227,4.8343,Entire home/apt,,2.0,$60.00,t,0,0,0,0,2021-09-15,1,1,0,0
1977980,1er Arrondissement,45.76937,4.83552,Entire home/apt,1.0,2.0,$55.00,t,0,0,0,0,2021-09-15,1,1,0,0
1980953,4e Arrondissement,45.77393,4.82344,Entire home/apt,1.0,1.0,$150.00,t,0,0,0,0,2021-09-15,1,1,0,0
1983195,9e Arrondissement,45.79966,4.82988,Entire home/apt,2.0,2.0,$65.00,t,2,18,43,318,2021-09-15,1,1,0,0
1984468,1er Arrondissement,45.77201,4.83533,Entire home/apt,1.0,1.0,$100.00,t,21,51,81,356,2021-09-15,1,1,0,0
1996196,2e Arrondissement,45.76078,4.83172,Entire home/apt,1.0,1.0,$200.00,t,0,0,0,0,2021-09-15,1,1,0,0
1998671,1er Arrondissement,45.77386,4.8269,Entire home/apt,1.0,1.0,$86.00,t,0,0,0,0,2021-09-15,1,1,0,0
2000033,7e Arrondissement,45.7506,4.8424,Entire home/apt,1.0,2.0,$90.00,t,5,20,42,225,2021-09-15,1,1,0,0
2001914,5e Arrondissement,45.76047,4.82581,Entire home/apt,1.0,2.0,$53.00,t,0,0,0,0,2021-09-15,1,1,0,0
2004588,5e Arrondissement,45.7646,4.82801,Entire home/apt,1.0,2.0,$95.00,t,0,0,0,0,2021-09-15,1,1,0,0
2005196,5e Arrondissement,45.7669,4.82324,Entire home/apt,1.0,1.0,$84.00,t,0,0,0,0,2021-09-15,1,1,0,0
2005649,4e Arrondissement,45.77477,4.83192,Entire home/apt,1.0,2.0,$55.00,t,0,0,0,0,2021-09-15,1,1,0,0
2007559,9e Arrondissement,45.77611,4.80626,Private room,1.0,1.0,$35.00,t,3,3,3,23,2021-09-15,2,1,1,0
2009130,5e Arrondissement,45.76372,4.82682,Entire home/apt,1.0,0.0,$70.00,t,11,34,60,335,2021-09-15,1,1,0,0
2009217,5e Arrondissement,45.76384,4.82775,Entire home/apt,1.0,1.0,$70.00,t,0,0,0,257,2021-09-15,1,1,0,0
2009456,3e Arrondissement,45.75718,4.85536,Shared room,1.0,1.0,$95.00,t,0,0,0,0,2021-09-15,1,0,0,1
2009651,6e Arrondissement,45.7718,4.84201,Private room,1.0,1.0,$75.00,t,0,0,10,285,2021-09-15,3,0,3,0
2009737,1er Arrondissement,45.77359,4.82784,Entire home/apt,1.0,1.0,$100.00,t,18,48,78,353,2021-09-15,35,35,0,0
2010527,1er Arrondissement,45.77035,4.83085,Private room,1.0,1.0,$35.00,t,0,0,0,0,2021-09-15,1,0,1,0
