id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675609,2020-01-08,Vente,126000.0,36,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,56.0,Appartement,3,0.0,4.8007,45.76817
2020-675614,2020-01-06,Vente,201350.0,43,,RUE HECTOR BERLIOZ,3440,69009,Lyon 9e Arrondissement,69,,71.0,Appartement,3,0.0,4.82553,45.80012
2020-675614,2020-01-06,Vente,201350.0,41,,RUE HECTOR BERLIOZ,3440,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.82553,45.80012
2020-675618,2020-01-13,Vente,42000.0,12,,RUE DE CUIRE,2025,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.83107,45.77588
2020-675624,2020-01-10,Vente,368000.0,2,,RUE LOUIS THEVENET,4355,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.83776,45.77694
2020-675624,2020-01-10,Vente,368000.0,2,,RUE LOUIS THEVENET,4355,69004,Lyon 4e Arrondissement,69,,66.0,Appartement,4,0.0,4.83776,45.77694
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,59.0,Appartement,3,299.0,4.81815,45.75588
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,22.0,Appartement,1,299.0,4.81815,45.75588
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,50.0,Appartement,2,299.0,4.81815,45.75588
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,35.0,Appartement,1,299.0,4.81815,45.75588
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,33.0,Appartement,1,299.0,4.81815,45.75588
2020-675625,2020-01-15,Vente,650000.0,5,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,,52.0,Appartement,2,299.0,4.81815,45.75588
2020-675626,2020-01-15,Vente,673600.0,44,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,118.0,117.0,Appartement,6,0.0,4.8268,45.77986
2020-675626,2020-01-15,Vente,673600.0,44,,RUE JACQUES - LOUIS HENON,3465,69004,Lyon 4e Arrondissement,69,,,Dépendance,0,0.0,4.8268,45.77986
2020-675630,2020-01-08,Vente,197370.0,181,,RUE JOLIOT CURIE,3895,69005,Lyon 5e Arrondissement,69,,79.0,Appartement,3,0.0,4.77711,45.753
