latitude,longitude,airbnbValue,cadastreValue,ratio
45.760136,4.80774,0,190000,0.0
45.75778,4.813967,7177,145700,0.04925875
45.771927,4.829293,6627,256566,0.025829611
45.77931,4.80235,0,280000,0.0
45.76047,4.826125,4254,353400,0.012037352
45.781155,4.838135,3476,235500,0.014760085
45.756027,4.829008,8712,343250,0.025380917
45.763115,4.8256445,7295,469860,0.015525902
45.762253,4.868359,8877,308732,0.028753093
45.766888,4.832542,6973,339331,0.020549256
45.75246,4.86643,10465,219895,0.047590896
45.7695,4.82229,3414,378474,0.009020435
45.754677,4.864424,4442,296166,0.014998346
45.773438,4.8002267,19790,314775,0.0628703
45.752934,4.891101,7132,182840,0.03900678
45.76802,4.81895,4782,140333,0.03407609
45.754837,4.838837,0,355000,0.0
45.746956,4.861798,14470,162950,0.088800244
45.76499,4.855227,2803,170000,0.016488235
45.75099,4.831608,0,168500,0.0
45.776245,4.832558,1778,332704,0.0053440896
45.778454,4.8367076,3027,188400,0.016066879
45.761875,4.793413,8600,188333,0.045663796
45.766098,4.826676,9934,326850,0.030393146
45.76372,4.8482947,5725,123000,0.046544716
45.728237,4.879697,5956,163116,0.03651389
45.771946,4.826935,8530,205000,0.041609757
45.771004,4.850768,7800,274940,0.028369825
45.741436,4.85106,5987,170858,0.035040796
45.79369,4.822815,0,161650,0.0
45.77923,4.8316054,554,132000,0.00419697
45.739933,4.8692126,0,229000,0.0
45.74969,4.843547,19,213575,8.896172E-5
45.760555,4.786462,4706,176125,0.02671966
45.755432,4.845185,386,470000,8.2127657E-4
45.774456,4.810035,3698,432000,0.008560185
45.76907,4.825693,2710,372850,0.0072683385
45.753284,4.888307,3406,170000,0.020035295
45.774754,4.834858,2475,331477,0.007466581
45.7615,4.833254,11807,376290,0.031377394
45.76981,4.829481,11785,429106,0.027464077
45.730503,4.874417,14,265000,5.283019E-5
45.7347,4.8520174,0,170328,0.0
45.76758,4.8011074,0,140500,0.0
45.75448,4.841195,3088,286800,0.0107670855
45.74619,4.8246226,335,229285,0.0014610637
45.77334,4.8276443,18131,226860,0.079921536
45.75561,4.8272047,0,389721,0.0
45.7449,4.8193474,16069,280926,0.057200115
45.76013,4.8330455,9248,569450,0.016240232
45.753067,4.8289394,0,139000,0.0
45.7676,4.8122993,2174,261788,0.008304429
45.755135,4.8233337,8174,268966,0.030390458
