id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-680960,2020-11-20,Vente,410000.0,69,,RUE SAINT GEORGES,6365,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.82412,45.75558
2020-680961,2020-11-20,Vente,432000.0,85,,RUE PDT EDOUARD HERRIOT,5720,69002,Lyon 2e Arrondissement,69,61.28,61.0,Local industriel. commercial ou assimilé,0,0.0,4.83415,45.75989
2020-680965,2020-11-26,Vente,470000.0,3,,RUE CLOTILDE BIZOLON,1770,69002,Lyon 2e Arrondissement,69,80.48,85.0,Appartement,2,0.0,4.82667,45.75614
2020-680967,2020-11-17,Vente,365000.0,140,,BD DE LA CROIX-ROUSSE,2005,69001,Lyon 1er Arrondissement,69,,,Dépendance,0,0.0,4.82959,45.77363
2020-680967,2020-11-17,Vente,365000.0,140,,BD DE LA CROIX-ROUSSE,2005,69001,Lyon 1er Arrondissement,69,,56.0,Appartement,2,0.0,4.82959,45.77363
2020-680971,2020-11-19,Vente,31500.0,8,,RUE ML ET AM SOUCELIER,0300,69005,Lyon 5e Arrondissement,69,,132.0,Local industriel. commercial ou assimilé,0,0.0,4.79508,45.755
2020-680973,2020-11-04,Vente,459000.0,10,,RUE DUHAMEL,2370,69002,Lyon 2e Arrondissement,69,64.0,72.0,Appartement,2,0.0,4.82948,45.74997
2020-680975,2020-11-18,Vente,211600.0,9,,RUE DU BEAL,0746,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79438,45.77106
2020-680975,2020-11-18,Vente,211600.0,9,,RUE DU BEAL,0746,69009,Lyon 9e Arrondissement,69,,57.0,Appartement,3,0.0,4.79438,45.77106
2020-680977,2020-11-13,Vente,220000.0,24,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,8.0,Local industriel. commercial ou assimilé,0,0.0,4.79902,45.76995
2020-680977,2020-11-13,Vente,220000.0,24,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,126.0,Local industriel. commercial ou assimilé,0,0.0,4.79902,45.76995
2020-680977,2020-11-13,Vente,220000.0,24,,AV JOANNES MASSET,3885,69009,Lyon 9e Arrondissement,69,,4.0,Local industriel. commercial ou assimilé,0,0.0,4.79853,45.77094
2020-680978,2020-11-23,Vente,226900.0,122,,RUE SAINT GEORGES,6365,69005,Lyon 5e Arrondissement,69,42.32,46.0,Appartement,2,0.0,4.82345,45.75542
2020-680979,2020-11-23,Vente,220000.0,66,,RUE SAINT GEORGES,6365,69005,Lyon 5e Arrondissement,69,,32.0,Local industriel. commercial ou assimilé,0,0.0,4.82446,45.75723
2020-680980,2020-11-04,Vente,230000.0,143,,AV BARTHELEMY BUYER,0680,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.79854,45.76309
2020-680980,2020-11-04,Vente,230000.0,143,,AV BARTHELEMY BUYER,0680,69005,Lyon 5e Arrondissement,69,,75.0,Appartement,4,0.0,4.79854,45.76309
2020-680982,2020-11-10,Vente,605400.0,25,,RUE DE TRION,7130,69005,Lyon 5e Arrondissement,69,112.28,104.0,Appartement,4,0.0,4.81638,45.75648
2020-680985,2020-11-12,Vente,178680.0,10,,AV DE MENIVAL,4720,69005,Lyon 5e Arrondissement,69,,83.0,Appartement,5,0.0,4.78605,45.75745
2020-680988,2020-11-20,Vente,250000.0,77,,RUE DE LA REPUBLIQUE,6005,69002,Lyon 2e Arrondissement,69,,38.0,Appartement,2,0.0,4.83507,45.75878
2020-680991,2020-11-18,Vente,369000.0,33,,QUAI ARLOING,0470,69009,Lyon 9e Arrondissement,69,,83.0,Appartement,3,0.0,4.81087,45.77038
2020-680992,2020-11-16,Vente,19000.0,206,,RUE DE ST CYR,6295,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.82016,45.79996
