id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-821742,2016-04-05,Vente en l'état futur d'achèvement,111000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-821742,2016-04-05,Vente en l'état futur d'achèvement,111000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,30.0,1.0,,4.831207,45.859933
2016-821821,2016-04-13,Vente en l'état futur d'achèvement,153000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-821821,2016-04-13,Vente en l'état futur d'achèvement,153000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,41.0,2.0,,4.831207,45.859933
2016-821830,2016-04-20,Vente,327000.0,9.0,,LES HAUTS D'ALBIGNY,A010,69250.0,69003,Albigny-sur-Saône,69,,114.0,6.0,,4.830137,45.867383
2016-821878,2016-04-21,Vente en l'état futur d'achèvement,163000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,44.0,2.0,,4.831207,45.859933
2016-821878,2016-04-21,Vente en l'état futur d'achèvement,163000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-821894,2016-04-21,Vente en l'état futur d'achèvement,152000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-821894,2016-04-21,Vente en l'état futur d'achèvement,152000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,42.0,2.0,,4.831207,45.859933
2016-821989,2016-04-26,Vente,155000.0,26.0,A,AV DES AVORAUX,0020,69250.0,69003,Albigny-sur-Saône,69,,119.0,5.0,434.0,4.828926,45.87252
2016-822018,2016-04-21,Vente en l'état futur d'achèvement,210000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,58.0,3.0,,4.831207,45.859933
2016-822018,2016-04-21,Vente en l'état futur d'achèvement,210000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-822018,2016-04-21,Vente en l'état futur d'achèvement,210000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-822021,2016-04-27,Vente en l'état futur d'achèvement,156000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,42.0,2.0,,4.831207,45.859933
2016-822021,2016-04-27,Vente en l'état futur d'achèvement,156000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-822206,2016-05-17,Vente en l'état futur d'achèvement,113000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,36.0,1.0,,4.831207,45.859933
2016-822206,2016-05-17,Vente en l'état futur d'achèvement,113000.0,,,MIGNONNE,B014,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-822313,2016-05-20,Vente,575960.0,40.0,,CHE DU TISON,0240,69250.0,69003,Albigny-sur-Saône,69,,133.0,6.0,1150.0,4.828391,45.860091
2016-822313,2016-05-20,Vente,575960.0,,,TISON,B021,69250.0,69003,Albigny-sur-Saône,69,,,,8.0,4.828901,45.859847
2016-822313,2016-05-20,Vente,575960.0,,,TISON,B021,69250.0,69003,Albigny-sur-Saône,69,,,,51.0,4.828955,45.859922
